O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable,Injured Reserve
D,Darryl Johnson,DJ-1275,Seattle Seahawks,groin strain,groin,lower body,Low Severity,Preseason,2022,,,,,
O,Diontae Johnson,DJ-1675,Pittsburgh Steelers,hip flexor strain,hip,lower body,Low Severity,Preseason,2022,,,,,
O,Diontae Johnson,DJ-1675,Pittsburgh Steelers,shoulder strain,shoulder,upper body,Low Severity,Preseason,2022,,,,,
O,Diontae Johnson,DJ-1675,Pittsburgh Steelers,toe sprain,toe,lower body,Low Severity,Week 15,2022,,1,,,
D,DaQuan Jones,DJ-2250,Buffalo Bills,calf strain,calf,lower body,Low Severity,Postseason,2022,1,1,,,
O,Daniel Jones,DJ-2275,New York Giants,ankle sprain,ankle,lower body,Low Severity,Week 4,2022,,,,,
D,Deion Jones,DJ-2450,Cleveland Browns,shoulder surgery rehabilitation,shoulder,upper body,Medium Severity,Preseason,2022,4,4,,,IR
D,Dre'Mont Jones,DJ-2925,Denver Broncos,neck strain,neck,upper body,Low Severity,Week 2,2022,,1,,,
D,Dre'Mont Jones,DJ-2925,Denver Broncos,hip labrum strain,hip,lower body,Medium Severity,Week 14,2022,4,4,,4-6 weeks,IR
O,Deon Jackson,DJ-9986,Indianapolis Colts,knee sprain,knee,lower body,Low Severity,Week 9,2022,1,1,,,
O,Doug Kramer,DK-0111,Chicago Bears,lower leg injury,leg,lower body,Low Severity,Preseason,2022,,,,,
D,Damontae Kazee,DK-0362,Pittsburgh Steelers,arm injury,arm,upper body,Medium Severity,Preseason,2022,4,4,left army repair surgery,6-8 weeks,IR
O,Dennis Kelly,DK-0430,Indianapolis Colts,knee strain,knee,lower body,Low Severity,Preseason,2022,,1,,,
O,Dennis Kelly,DK-0430,Indianapolis Colts,calf & ankle strain,ankle,lower body,Low Severity,Week 8,2022,,1,,,
D,Desmond King,DK-0687,Houston Texans,knee sprain,knee,lower body,Low Severity,Week 8,2022,,1,,,
O,Dawson Knox,DK-0950,Buffalo Bills,foot sprain,foot,lower body,Low Severity,Week 2,2022,,1,,,
O,Dawson Knox,DK-0950,Buffalo Bills,hip strain,hip,lower body,Low Severity,Week 3,2022,,,,,
O,Dawson Knox,DK-0950,Buffalo Bills,back strain,back,upper body,Low Severity,Week 3,2022,,1,,,
O,Dawson Knox,DK-0950,Buffalo Bills,foot sprain,foot,lower body,Low Severity,Week 4,2022,1,1,,,
O,Dawson Knox,DK-0950,Buffalo Bills,hamstring strain,hamstring,lower body,Low Severity,Week 4,2022,,,,,
D,Demarcus Lawrence,DL-0450,Dallas Cowboys,foot sprain,foot,lower body,Low Severity,Week 10,2022,,3,,,
D,Dexter Lawrence,DL-0490,New York Giants,back strain,back,upper body,Low Severity,Week 10,2022,,1,,,
D,Shaquille Leonard,DL-0925,Indianapolis Colts,back strain,back,upper body,Medium Severity,Preseason,2022,3,4,back repair surgery,6-8 weeks,
D,Shaquille Leonard,DL-0925,Indianapolis Colts,concussion & nose fracture,head,upper body,Medium Severity,Week 4,2022,3,3,nose fracture repair surgery,,
D,Shaquille Leonard,DL-0925,Indianapolis Colts,reaggrevated discs,back,upper body,Medium Severity,Week 9,2022,8,8,back repair surgery,6-8 weeks,IR
O,Damien Lewis,DL-1350,Seattle Seahawks,lateral ankle sprain,ankle,lower body,Low Severity,Preseason,2022,1,1,,,
O,Damien Lewis,DL-1350,Seattle Seahawks,thigh strain,quad,lower body,Low Severity,Week 2,2022,,,,,
O,Damien Lewis,DL-1350,Seattle Seahawks,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,,1,,,
D,David Long,DL-1875,Tennessee Titans,groin strain,groin,lower body,Medium Severity,Week 2,2022,3,3,,,
D,David Long,DL-1875,Tennessee Titans,hamstring strain,hamstring,lower body,Medium Severity,Week 13,2022,4,4,,,IR
D,David Long,DL-1875,Tennessee Titans,groin strain,groin,lower body,Low Severity,Week 13,2022,2,2,,,
D,Dean Lowry,DL-2325,Green Bay Packers,calf strain,calf,lower body,Medium Severity,Week 16,2022,2,2,,,IR
O,Drake London,DL-4371,Atlanta Falcons,knee strain,knee,lower body,Low Severity,Preseason,2022,,1,,,
D,DeMarvin Leal,DL-8803,Pittsburgh Steelers,knee sprain,knee,lower body,Low Severity,Week 5,2022,1,1,,,
D,DaMarcus Mitchell,DM-0117,New England Patriots,concussion,head,upper body,Low Severity,Week 4,2022,1,1,,,
O,David Mayo,DM-0650,Washington Commanders,ankle sprain,ankle,lower body,Low Severity,Week 2,2022,,1,,,
D,David Mayo,DM-0650,Washington Commanders,hamstring strain,hamstring,lower body,Low Severity,Week 4,2022,1,1,,,
D,David Mayo,DM-0650,Washington Commanders,hamstring strain,hamstring,lower body,Medium Severity,Week 8,2022,3,3,,,
O,D.K. Metcalf,DM-2275,Seattle Seahawks,patellar tendon strain,knee,lower body,Low Severity,Week 7,2022,,1,,,
O,D.K. Metcalf,DM-2275,Seattle Seahawks,hip strain,hip,lower body,Low Severity,Week 13,2022,,1,,,
O,Denzel Mims,DM-2475,New York Jets,concussion,head,upper body,Low Severity,Week 15,2022,1,1,,,
O,David Montgomery,DM-2787,Chicago Bears,ankle sprain,ankle,lower body,Low Severity,Week 3,2022,1,2,,,
O,David Montgomery,DM-2787,Chicago Bears,knee sprain,knee,lower body,Low Severity,Week 3,2022,,,,,
O,Darnell Mooney,DM-2793,Chicago Bears,ankle sprain,ankle,lower body,Medium Severity,Week 12,2022,5,5,ankle repair surgery,2-4 months,IR
O,D.J. Moore,DM-2850,Carolina Panthers,ankle sprain,ankle,lower body,Low Severity,Week 14,2022,,1,,,
O,David Moore,DM-3050,,lower leg injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
O,Daniel Munyer,DM-4250,Tennessee Titans,undisclosed injury,leg,lower body,High Severity,Preseason,2022,,,,,IR
D,Damarri Mathis,DM-5885,Denver Broncos,knee sprain,knee,lower body,Low Severity,Week 5,2022,,1,,,
D,Damarri Mathis,DM-5885,Denver Broncos,concussion,head,upper body,Low Severity,Week 17,2022,,,,,
D,Damarri Mathis,DM-5885,Denver Broncos,concussion,head,upper body,Low Severity,Week 17,2022,1,1,,,
O,Dax Milne,DM-9961,Washington Commanders,foot sprain,foot,lower body,Low Severity,Week 11,2022,2,2,,,
O,David Njoku,DN-1225,Cleveland Browns,high-ankle sprain,ankle,lower body,Low Severity,Week 7,2022,2,3,,,
O,David Njoku,DN-1225,Cleveland Browns,knee sprain,knee,lower body,Low Severity,Week 12,2022,1,1,,,
O,Dare Ogunbowale,DO-0025,Houston Texans,knee sprain,knee,lower body,Low Severity,Week 16,2022,,1,,,
D,David Ojabo,DO-4423,Baltimore Ravens,achilles repair surgery rehabilitation,achilles,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Del'Shawn Phillips,DP-0113,Baltimore Ravens,quad strain,quad,lower body,Low Severity,Week 12,2022,1,2,,,
O,Donald Parham,DP-0250,Los Angeles Chargers,hamstring strain,hamstring,lower body,Medium Severity,Preseason,2022,4,4,,,
O,Donald Parham,DP-0250,Los Angeles Chargers,hamstring strain,hamstring,lower body,Medium Severity,Week 6,2022,4,4,,,IR
O,Donald Parham,DP-0250,Los Angeles Chargers,concussion,head,upper body,Low Severity,Week 6,2022,1,1,,,
O,DeVante Parker,DP-0350,New England Patriots,knee sprain,knee,lower body,Low Severity,Week 8,2022,1,4,,,
O,DeVante Parker,DP-0350,New England Patriots,concussion,head,upper body,Medium Severity,Week 14,2022,3,3,,,
D,Denzel Perryman,DP-1250,Las Vegas Raiders,ankle sprain,ankle,lower body,Low Severity,Week 1,2022,2,2,,,
D,Denzel Perryman,DP-1250,Las Vegas Raiders,hip strain,hip,lower body,Low Severity,Week 9,2022,1,2,,,
D,Denzel Perryman,DP-1250,Las Vegas Raiders,hip strain,hip,lower body,Low Severity,Week 14,2022,,1,,,
D,Denzel Perryman,DP-1250,Las Vegas Raiders,shoulder dislocation,shoulder,upper body,Medium Severity,Week 16,2022,2,2,,,IR
O,Dante Pettis,DP-1263,Chicago Bears,ankle sprain,ankle,lower body,Low Severity,Week 16,2022,,1,,,
D,Darius Phillips,DP-1266,Denver Broncos,hamstring strain,hamstring,lower body,Medium Severity,Week 2,2022,3,3,,,
D,Darius Phillips,DP-1266,Denver Broncos,hamstring strain,hamstring,lower body,Medium Severity,Week 15,2022,3,3,,,IR
O,Dak Prescott,DP-2037,Dallas Cowboys,right thumb fracture,thumb,upper body,Medium Severity,Week 1,2022,5,5,joint stabilization and fracture repair,6-8 weeks,
O,Dylan Parham,DP-4853,Las Vegas Raiders,knee strain,knee,lower body,Low Severity,Week 15,2022,,1,,,
O,Dameon Pierce,DP-7450,Houston Texans,high-ankle sprain,ankle,lower body,Medium Severity,Week 14,2022,4,4,,,IR
D,D.J. Reader,DR-0625,Cincinnati Bengals,MCL sprain,knee,lower body,Medium Severity,Week 3,2022,6,6,,,IR
D,D.J. Reed,DR-0750,New York Jets,knee soreness,knee,lower body,Low Severity,Preseason,2022,,1,,,
O,Dalton Risner,DR-1756,Denver Broncos,ankle sprain,ankle,lower body,Low Severity,Week 3,2022,,1,,,
O,Dalton Risner,DR-1756,Denver Broncos,back strain,back,upper body,Low Severity,Week 5,2022,,1,,,
O,Dalton Risner,DR-1756,Denver Broncos,shoulder strain,shoulder,upper body,Low Severity,Week 13,2022,1,3,,,
D,Derek Rivers,DR-1775,Houston Texans,biceps tear,biceps,upper body,High Severity,Preseason,2022,17,17,,,IR
O,Demarcus Robinson,DR-2225,Baltimore Ravens,groin strain,groin,lower body,Low Severity,Week 8,2022,,1,,,
O,Demarcus Robinson,DR-2225,Baltimore Ravens,groin strain,groin,lower body,Low Severity,Week 8,2022,,1,,,
O,Demarcus Robinson,DR-2225,Baltimore Ravens,hip strain,hip,lower body,Low Severity,Week 11,2022,,1,,,
D,Dominique Robinson,DR-2731,Chicago Bears,knee strain,knee,lower body,Low Severity,Preseason,2022,,1,,,
O,Dillon Radunz,DR-8201,Tennessee Titans,knee sprain,knee,lower body,Medium Severity,Week 15,2022,3,3,,,IR
O,Dru Samia,DS-0025,,undisclosed injury,hamstring,lower body,Low Severity,Preseason,2022,,,,,
O,Drew Sample,DS-0050,Cincinnati Bengals,MCL sprain,knee,lower body,Medium Severity,Preseason,2022,,,,,
O,Drew Sample,DS-0050,Cincinnati Bengals,MCL & PCL sprain,knee,lower body,Medium Severity,Week 2,2022,6,6,,,IR
O,Deebo Samuel,DS-0150,San Francisco 49ers,knee bruise,knee,lower body,Low Severity,Preseason,2022,,,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,hamstring strain,hamstring,lower body,Low Severity,Week 7,2022,1,1,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,hamstring strain,hamstring,lower body,Low Severity,Week 11,2022,,1,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,quad strain,quad,upper body,Low Severity,Week 12,2022,,1,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,high-ankle sprain,ankle,lower body,Medium Severity,Week 14,2022,3,3,,,
D,Darnell Savage,DS-0712,Green Bay Packers,hamstring strain,hamstring,lower body,Low Severity,Preseason,2022,,,,,
D,Darnell Savage,DS-0712,Green Bay Packers,foot sprain,foot,lower body,Low Severity,Week 12,2022,1,1,,,
O,Dalton Schultz,DS-0850,Dallas Cowboys,knee sprain,knee,lower body,Low Severity,Week 2,2022,1,2,,,
O,Dalton Schultz,DS-0850,Dallas Cowboys,PCL sprain,knee,lower body,Low Severity,Week 5,2022,1,3,,,
D,Derek Stingley,DS-1528,Houston Texans,hamstring strain,hamstring,lower body,High Severity,Week 10,2022,8,8,,,IR
O,Donovan Smith,DS-3037,Tampa Bay Buccaneers,hyperextended elbow,elbow,upper body,Low Severity,Week 1,2022,2,3,,,
O,Donovan Smith,DS-3037,Tampa Bay Buccaneers,foot sprain,foot,lower body,Low Severity,Week 15,2022,2,4,,,
D,Dawuane Smoot,DS-3125,Jacksonville Jaguars,achilles tendon rupture,achilles,lower body,Low Severity,Week 16,2022,2,2,Achilles tendon repair surgery,6-9 months,IR
O,Durham Smythe,DS-3137,Miami Dolphins,hamstring strain,hamstring,lower body,Low Severity,Week 5,2022,1,3,,,
O,Durham Smythe,DS-3137,Miami Dolphins,knee & quad strain,knee,lower body,Low Severity,Week 13,2022,,1,,,
O,D'Andre Swift,DS-5175,Detroit Lions,ankle sprain,ankle,lower body,Medium Severity,Week 1,2022,3,5,,,
O,D'Andre Swift,DS-5175,Detroit Lions,shoulder strain,shoulder,upper body,Low Severity,Week 3,2022,,,,,
O,DeVonta Smith,DS-9918,Philadelphia Eagles,groin strain,groin,lower body,Low Severity,Preseason,2022,,,,,
O,Dillon Stoner,DS-9983,Las Vegas Raiders,undisclosed injury,leg,lower body,Low Severity,Preseason,2022,,,,,
D,Darrell Taylor,DT-0112,Seattle Seahawks,groin strain,groin,lower body,Low Severity,Week 7,2022,1,2,,,
D,Dalvin Tomlinson,DT-1725,Minnesota Vikings,calf strain,calf,lower body,Medium Severity,Week 8,2022,4,4,,,
O,D.J. Turner,DT-9986,Las Vegas Raiders,ankle sprain,ankle,lower body,Medium Severity,Week 1,2022,4,4,,,IR
O,D.J. Turner,DT-9986,Las Vegas Raiders,hamstring strain,hamstring,lower body,Low Severity,Week 7,2022,,1,,,
D,Damarion Williams,DW-0111,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 2,2022,,1,,,
D,Drew White,DW-0112,,ACL tear,knee,lower body,High Severity,Preseason,2022,17,17,ACL reconstruction surgery,4-6 months,IR
O,Darren Waller,DW-0675,Las Vegas Raiders,hamstring strain,hamstring,lower body,High Severity,Week 5,2022,7,7,,,IR
D,Denzel Ward,DW-0850,Cleveland Browns,concussion,head,upper body,Medium Severity,Week 5,2022,3,3,,,
D,Denzel Ward,DW-0850,Cleveland Browns,shoulder strain,shoulder,upper body,Low Severity,Week 17,2022,,1,,,
O,Dwayne Washington,DW-1550,New Orleans Saints,hamstring strain,hamstring,lower body,Low Severity,Preseason,2022,1,2,,,
O,Devonte Wyatt,DW-2230,Green Bay Packers,quad strain,quad,lower body,Low Severity,Week 4,2022,1,1,,,
O,Damien Williams,DW-3125,,rib injury,rib,upper body,Medium Severity,Week 1,2022,4,4,,,IR
D,Darious Williams,DW-3237,Jacksonville Jaguars,abdomen strain,abdomen,upper body,Low Severity,Week 14,2022,,1,,,
O,Darrell Williams,DW-3250,,knee strain,knee,lower body,Low Severity,Week 5,2022,2,3,,,
D,DeShawn Williams,DW-3650,Denver Broncos,back strain,back,upper body,Low Severity,Week 1,2022,,1,,,
D,DeShawn Williams,DW-3650,Denver Broncos,back strain,back,upper body,Low Severity,Week 6,2022,,1,,,
D,Daniel Wise,DW-4125,Washington Commanders,ankle sprain,ankle,lower body,Low Severity,Week 2,2022,1,1,,,
D,Deatrich Wise,DW-4150,New England Patriots,ankle sprain,ankle,lower body,Low Severity,Week 8,2022,,1,,,
D,Daryl Worley,DW-4750,Baltimore Ravens,hamstring strain,hamstring,lower body,Low Severity,Week 13,2022,1,1,,,
D,Eli Ankou,EA-0525,Buffalo Bills,calf strain,calf,lower body,Low Severity,Preseason,2022,,,,,
D,Eli Ankou,EA-0525,Buffalo Bills,hamstring strain,hamstring,lower body,Low Severity,Preseason,2022,,,,,
D,Eli Apple,EA-0575,Cincinnati Bengals,quad strain,quad,lower body,Low Severity,Preseason,2022,,,drain fluid from quad,2-5 days,
D,Eli Apple,EA-0575,Cincinnati Bengals,hamstring strain,hamstring,lower body,Low Severity,Week 7,2022,1,1,,,
D,Eli Apple,EA-0575,Cincinnati Bengals,neck strain,neck,upper body,Low Severity,Week 17,2022,,1,,,
D,Essang Bassey,EB-0512,Denver Broncos,hamstring strain,hamstring,lower body,Low Severity,Week 6,2022,2,2,,,
O,Evan Brown,EB-1750,Detroit Lions,ankle sprain,ankle,lower body,Low Severity,Week 4,2022,,1,,,
O,Evan Brown,EB-1750,Detroit Lions,ankle sprain,ankle,lower body,Low Severity,Week 11,2022,1,1,,,
O,Evan Brown,EB-1750,Detroit Lions,ankle sprain,ankle,lower body,Low Severity,Week 12,2022,2,2,,,
D,Elijah Campbell,EC-0112,Miami Dolphins,foot sprain,foot,lower body,Low Severity,Week 5,2022,,1,,,
D,Elijah Campbell,EC-0112,Miami Dolphins,concussion,head,upper body,Low Severity,Week 14,2022,1,1,,,
O,Ezekiel Elliott,EE-0250,Dallas Cowboys,grade 2 MCL sprain,knee,lower body,Low Severity,Week 7,2022,2,3,,,
O,Eric Fisher,EF-0050,Miami Dolphins,calf strain,calf,lower body,Medium Severity,Week 15,2022,4,4,,,IR
D,Jordan Smith,EG-7681,Jacksonville Jaguars,knee injury,knee,lower body,High Severity,Preseason,2022,17,17,knee repair surgery,6-8 months,IR
D,Erik Harris,EH-0175,Atlanta Falcons,ankle sprain,ankle,lower body,Low Severity,Week 8,2022,1,1,,,
D,Erik Harris,EH-0175,Atlanta Falcons,foot sprain,foot,lower body,Low Severity,Week 9,2022,1,2,,,
O,Elijah Holyfield,EH-0950,Cincinnati Bengals,knee injury,knee,lower body,High Severity,Preseason,2022,17,17,,,IR
D,Eddie Jackson,EJ-0125,Chicago Bears,LisFranc injury,foot,lower body,High Severity,Week 12,2022,5,5,,,IR
O,Elgton Jenkins,EJ-0425,Green Bay Packers,ACL surgery rehabilitation,knee,lower body,Low Severity,Preseason,2022,2,2,,,
O,Elgton Jenkins,EJ-0425,Green Bay Packers,knee sprain,knee,lower body,Low Severity,Week 7,2022,1,2,,,
D,Ernest Jones,EJ-1133,Los Angeles Rams,back strain,back,upper body,Low Severity,Week 12,2022,,1,,,
D,Eric Kendricks,EK-0250,Minnesota Vikings,toe sprain,toe,lower body,Low Severity,Week 2,2022,,1,,,
D,Eric Kendricks,EK-0250,Minnesota Vikings,hip strain,hip,lower body,Low Severity,Week 15,2022,,1,,,
O,Erik McCoy,EM-0750,New Orleans Saints,calf strain,calf,lower body,Medium Severity,Week 9,2022,4,4,,,IR
D,Emmanuel Moseley,EM-1750,San Francisco 49ers,ACL tear,knee,lower body,High Severity,Week 5,2022,12,12,ACL reconstruction surgery,4-6 months,IR
D,Elijah Molden,EM-4476,Tennessee Titans,groin strain,groin,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Elijah Molden,EM-4476,Tennessee Titans,groin strain,groin,lower body,Medium Severity,Week 12,2022,5,5,,,IR
O,Elijah Mitchell,EM-9934,San Francisco 49ers,MCL sprain right knee,knee,lower body,High Severity,Week 1,2022,9,9,,2-3 months,IR
O,Elijah Mitchell,EM-9934,San Francisco 49ers,MCL sprain,knee,lower body,Medium Severity,Week 12,2022,4,4,,,IR
O,Evan Neal,EN-2487,New York Giants,grade 2MCL sprain,knee,lower body,Medium Severity,Week 7,2022,4,4,,4-6 weeks,
D,Efe Obada,EO-0050,Washington Commanders,finger injury,finger,upper body,Low Severity,Week 14,2022,,1,,,
D,Emmanuel Ogbah,EO-0075,,back strain,back,upper body,Low Severity,Week 6,2022,1,2,,,
D,Emmanuel Ogbah,EO-0075,,triceps tear,triceps,upper body,High Severity,Week 10,2022,7,7,,,IR
D,Ed Oliver,EO-0275,Buffalo Bills,ankle sprain,ankle,lower body,Medium Severity,Week 1,2022,3,4,,,
D,Ed Oliver,EO-0275,Buffalo Bills,calf strain,calf,lower body,Low Severity,Week 15,2022,,1,,,
O,Ethan Pocic,EP-0575,Cleveland Browns,knee sprain,knee,lower body,Medium Severity,Week 11,2022,4,4,,,IR
D,Eric Rowe,ER-0475,Miami Dolphins,pectoral strain,chest,upper body,Low Severity,Preseason,2022,1,1,,,
D,Eric Rowe,ER-0475,Miami Dolphins,hip strain,hip,lower body,Low Severity,Week 7,2022,1,1,,,
D,Eric Rowe,ER-0475,Miami Dolphins,hamstring strain,hamstring,lower body,Low Severity,Week 14,2022,1,2,,,
D,Eric Rowe,ER-0475,Miami Dolphins,quad strain,quad,lower body,Low Severity,Week 17,2022,,1,,,
O,Eric Saubert,ES-0250,Denver Broncos,thigh strain,quad,lower body,Low Severity,Week 5,2022,,1,,,
O,Eric Saubert,ES-0250,Denver Broncos,knee sprain,knee,lower body,Low Severity,Week 17,2022,,1,,,
D,E.J. Speed,ES-1137,Indianapolis Colts,ankle sprain,ankle,lower body,Low Severity,Week 8,2022,,1,,,
O,Equanimeous St. Brown,ES-1175,Chicago Bears,concussion,head,upper body,Low Severity,Week 15,2022,1,1,,,
D,Eric Stokes,ES-2635,Green Bay Packers,ankle sprain,ankle,lower body,Medium Severity,Week 9,2022,8,8,,,IR
D,Eric Stokes,ES-2635,Green Bay Packers,knee sprain,knee,lower body,Low Severity,Week 9,2022,,,,,
O,Eric Tomlinson,ET-0375,Denver Broncos,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,,1,,,
D,Zeke Turner,ET-0500,Arizona Cardinals,ankle sprain,ankle,lower body,Low Severity,Week 2,2022,2,2,,,
O,Elijah Wilkinson,EW-0825,Atlanta Falcons,knee sprain,knee,lower body,Low Severity,Week 5,2022,,1,,,
D,Elijah Wilkinson,EW-0825,Atlanta Falcons,knee sprain,knee,lower body,Medium Severity,Week 8,2022,5,5,,,IR
D,Elijah Wilkinson,EW-0825,Atlanta Falcons,calf strain,calf,lower body,Low Severity,Week 16,2022,2,2,,,
D,Foley Fatukasi,FF-0050,Jacksonville Jaguars,calf strain,calf,lower body,Low Severity,Preseason,2022,,1,,,
D,Foley Fatukasi,FF-0050,Jacksonville Jaguars,quad strain,quad,lower body,Low Severity,Week 4,2022,2,3,,,
D,Foley Fatukasi,FF-0050,Jacksonville Jaguars,quad strain,quad,lower body,Low Severity,Week 5,2022,1,1,,,
D,Foley Fatukasi,FF-0050,Jacksonville Jaguars,ankle sprain,ankle,lower body,Low Severity,Week 15,2022,1,3,,,
O,Feleipe Franks,FF-9921,Atlanta Falcons,calf strain,calf,lower body,Low Severity,Week 9,2022,3,3,,,
O,Feleipe Franks,FF-9921,Atlanta Falcons,concussion,head,upper body,Low Severity,Week 16,2022,1,1,,,
D,Frankie Luvu,FL-0300,Carolina Panthers,shoulder strain,shoulder,upper body,Low Severity,Week 4,2022,2,4,,,
D,Fabian Moreau,FM-0650,New York Giants,oblique strain,oblique,upper body,Low Severity,Week 11,2022,1,2,,,
O,Foster Moreau,FM-0675,Las Vegas Raiders,knee sprain,knee,lower body,Low Severity,Week 3,2022,2,2,,,
D,Foye Oluokun,FO-0150,Jacksonville Jaguars,calf strain,calf,lower body,Low Severity,Week 5,2022,,2,,,
O,Frank Ragnow,FR-0025,Detroit Lions,groin strain,groin,lower body,Low Severity,Preseason,2022,1,2,,,
O,Frank Ragnow,FR-0025,Detroit Lions,foot sprain,foot,lower body,Low Severity,Week 2,2022,,1,,,
O,Frank Ragnow,FR-0025,Detroit Lions,foot sprain,foot,lower body,Low Severity,Week 10,2022,,1,,,
O,Frank Ragnow,FR-0025,Detroit Lions,foot sprain,foot,lower body,Low Severity,Week 14,2022,,4,,,
D,Grayland Arnold,GA-0325,Houston Texans,quad strain,quad,lower body,High Severity,Week 8,2022,7,7,,,IR
D,Genard Avery,GA-0600,Tampa Bay Buccaneers,abdomen strain,abdomen,upper body,Medium Severity,Week 14,2022,4,4,,,IR
O,Giovani Bernard,GB-0350,Tampa Bay Buccaneers,ankle sprain,ankle,lower body,Low Severity,Preseason,2022,,,,,
O,Giovani Bernard,GB-0350,Tampa Bay Buccaneers,ankle sprain,ankle,lower body,Medium Severity,Week 2,2022,4,4,,,IR
O,Garett Bolles,GB-0650,Denver Broncos,leg fracture,leg,lower body,High Severity,Week 5,2022,12,12,,,IR
O,Garrett Bradbury,GB-0750,Minnesota Vikings,back strain,back,upper body,Medium Severity,Week 13,2022,5,5,,,
O,Greg Bell,GB-9934,,back strain,lower back,upper body,Low Severity,Preseason,2022,,,,,
O,Grant Calcaterra,GC-1057,Philadelphia Eagles,hamstring strain,hamstring,lower body,Low Severity,Preseason,2022,,,,,
O,Gabriel Davis,GD-0025,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 1,2022,1,3,,,
D,Grant Delpit,GD-0150,Cleveland Browns,hip strain,hip,lower body,Low Severity,Preseason,2022,,,,,
O,Greg Dortch,GD-0450,Arizona Cardinals,groin strain,groin,lower body,Low Severity,Week 9,2022,,1,,,
O,Greg Dortch,GD-0450,Arizona Cardinals,thumb sprain,thumb,upper body,Low Severity,Week 11,2022,1,1,,,
O,Greg Dulcich,GD-2129,Denver Broncos,hamstring strain,hamstring,lower body,Medium Severity,Preseason,2022,5,5,,,IR
O,Greg Dulcich,GD-2129,Denver Broncos,hamstring strain,hamstring,lower body,Medium Severity,Week 16,2022,2,2,,,IR
O,Gus Edwards,GE-0150,Baltimore Ravens,ACL surgery rehabilitation,knee,lower body,Medium Severity,Preseason,2022,6,6,,,
O,Gus Edwards,GE-0150,Baltimore Ravens,hamstring strain,hamstring,lower body,Low Severity,Week 8,2022,1,1,,,
O,Gus Edwards,GE-0150,Baltimore Ravens,knee sprain,knee,lower body,Low Severity,Week 10,2022,1,2,,,
O,Gerald Everett,GE-0400,Los Angeles Chargers,groin strain,groin,lower body,Low Severity,Week 10,2022,1,1,,,
O,George Fant,GF-0025,New York Jets,knee sprain,knee,lower body,Low Severity,Preseason,2022,,3,,,
O,George Fant,GF-0025,New York Jets,knee sprain,knee,lower body,Medium Severity,Week 17,2022,1,1,,,IR
D,Greg Gaines,GG-0050,Los Angeles Rams,elbow strain,elbow,upper body,Low Severity,Week 9,2022,1,1,,,
O,Graham Glasgow,GG-0342,Denver Broncos,shoulder strain,shoulder,upper body,Low Severity,Week 10,2022,,1,,,
D,Grant Haley,GH-0050,Los Angeles Rams,Grade 2 ACL sprain,knee,lower body,Medium Severity,Week 6,2022,4,4,,4-6 weeks,IR
O,Gabe Jackson,GJ-0050,Seattle Seahawks,knee surgery rehabilitation,knee,lower body,Low Severity,Preseason,2022,,,,,
O,Gabe Jackson,GJ-0050,Seattle Seahawks,knee strain,knee,lower body,Low Severity,Week 5,2022,2,3,,,
O,Gabe Jackson,GJ-0050,Seattle Seahawks,hip strain,hip,lower body,Low Severity,Week 5,2022,,,,,
O,George Kittle,GK-0075,San Francisco 49ers,groin strain,groin,lower body,Low Severity,Preseason,2022,2,2,,,
O,Greg Little,GL-0400,,achilles strain,achilles,lower body,Low Severity,Week 6,2022,,1,,,
O,Greg Little,GL-0400,,foot sprain,foot,lower body,Low Severity,Week 16,2022,,1,,,
D,Greg Newsome,GN-9454,Cleveland Browns,oblique strain,oblique,upper body,Low Severity,Week 7,2022,,1,,,
D,Greg Newsome,GN-9454,Cleveland Browns,concussion,head,upper body,Low Severity,Week 10,2022,2,2,,,
D,Germaine Pratt,GP-0425,Cincinnati Bengals,knee sprain,knee,lower body,Low Severity,Week 2,2022,1,2,,,
O,Giovanni Ricci,GR-0310,Carolina Panthers,groin strain,groin,lower body,Low Severity,Preseason,2022,,,,,
O,Giovanni Ricci,GR-0310,Carolina Panthers,neck strain,neck,upper body,Low Severity,Week 10,2022,2,2,,,
D,Gregory Rousseau,GR-9454,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 10,2022,2,2,,,
D,Gregory Rousseau,GR-9454,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 9,2022,1,1,,,
D,Grant Stuard,GS-0112,Indianapolis Colts,hamstring strain,hamstring,lower body,Low Severity,Preseason,2022,,,,,
D,Grant Stuard,GS-0112,Indianapolis Colts,pectoral strain,chest,upper body,Low Severity,Week 7,2022,2,2,,,
O,Geno Smith,GS-1050,Seattle Seahawks,knee bruise,knee,lower body,Low Severity,Preseason,2022,,,,,
