Player,Player_ID,Team,Injury Description,Body Part,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Eddie Royal,ER-0500,Chicago Bears,toe strain,toe,Medium Severity,Week 12,2016,5,5,,
Eddie Royal,ER-0500,Chicago Bears,toe strain,toe,Low Severity,Week 6,2016,2,2,,
Lamarcus Joyner,LJ-1800,Los Angeles Rams,toe strain,toe,Low Severity,Week 2,2016,0,2,,
Mark Ingram,MI-0100,New Orleans Saints,toe strain,toe,Low Severity,Week 12,2016,0,2,,
Travaris Cadet,TC-0050,New Orleans Saints,toe strain,toe,Low Severity,Week 10,2016,1,2,,
Willie Snead,WS-0925,New Orleans Saints,toe strain,toe,Low Severity,Week 2,2016,1,2,,
Tony Romo,TR-0800,Dallas Cowboys,vertebrae fracture,back,High Severity,Preseason,2016,9,10,,
Tyler Bray,TB-2550,Kansas City Chiefs,vertebrae fracture,back,Low Severity,Preseason,2016,0,0,,
Troy Niklas,TN-0550,Arizona Cardinals,wrist sprain,wrist,High Severity,Preseason,2016,16,16,,
Marcus Sherels,MS-1300,Minnesota Vikings,wrist strain,wrist,Low Severity,Week 7,2016,2,3,,
Marquise Goodwin,MG-1050,Buffalo Bills,wrist strain,wrist,Low Severity,Week 12,2016,0,1,,
Robert Turbin,RT-1950,Indianapolis Colts,wrist strain,wrist,Low Severity,Week 4,2016,1,1,,
Theo Riddick,TR-0370,Detroit Lions,wrist strain,wrist,Medium Severity,Week 13,2016,4,4,,
David Grinnage,DG-9901,,hamstring strain,,Low Severity,Preseason,2016,0,0,,
Dominique Williams,DW-3925,,concussion,,Low Severity,Preseason,2016,0,3,,
Dustin Vaughan,DV-0150,,thumb fracture,,Low Severity,Preseason,2016,0,0,,
George Farmer,GF-0050,,ankle sprain,,Low Severity,Preseason,2016,0,0,,
Jake Coker,JC-3450,,shoulder strain,,Low Severity,Preseason,2016,0,0,,
Jonas Gray,JG-3050,,quad strain,,Low Severity,Preseason,2016,0,0,,
Kenny Bell,KB-0925,,concussion,,Low Severity,Preseason,2016,0,0,,
Kenny Cook,KC-2250,,quad tear,,Low Severity,Preseason,2016,0,0,,
Marlon Brown,MB-4050,,back strain,,Low Severity,Preseason,2016,0,0,,
Mitchell Henry,MH-2350,,groin strain,,Low Severity,Preseason,2016,0,0,,
Nic Jacobs,NJ-0150,,hand fracture,,High Severity,Preseason,2016,0,0,,
Rasheed Bailey,RB-0150,,ankle sprain,,Medium Severity,Preseason,2016,0,0,,
Ronnie Hillman,RH-2350,,back contusion,,Low Severity,Preseason,2016,0,0,,
Tony Washington,TW-1075,,hamstring strain,,Low Severity,Preseason,2016,0,2,,
Trent Richardson,TR-0350,,hamstring strain,,Low Severity,Preseason,2016,0,0,,
Trent Richardson,TR-0350,,knee strain,,Medium Severity,Preseason,2016,0,0,Arthroscopic Knee Surgery,4-6 weeks
Vincent Brown,VB-0300,,calf strain,,Low Severity,Preseason,2016,0,0,,
